062007051351999000001001TDON JOSE MANUEL          SORIA                    LOPEZ                     00000000          S
062007051351999000001010TDOÑA MARIA DEL CARMEN    HERNANDEZ                BENTO                     00000000          S
062007051351999000001011TDON CRISTIAN             SANTANA                  HERNANDEZ                 00000000          S
062007051351999000001012TDON HIPOLITO ALEJANDRO   SUAREZ                   NUEZ                      00000000          S
062007051351999000001013TDON IBAN                 URIARTE                  RIVERO                    00000000          N
062007051351999000001014TDOÑA LORENA DEL MAR      LOPEZ                    SANCHEZ                   00000000          N
062007051351999000001015TDOÑA MARIA SOFIA         GUTIERREZ                ARIAS                     00000000          N
062007051351999000001016TDOÑA MARIA VICTORIA      PONCE                    PEREZ                     00000000          N
062007051351999000001017TDON JAVIER DEL CAMPO     GONZALEZ                 DE LANGARICA              00000000          N
062007051351999000001018TDON ANTONIO ALEJANDRO    MAROÑO                   GONZALEZ                  00000000          N
062007051351999000001019TDOÑA MARIA               MONTORO                  CORRAL                    00000000          N
062007051351999000001002TDON LUIS LARRY           ALVAREZ                  CARDERO                   00000000          S
062007051351999000001020TDON AGUSTIN              GONZALEZ                 ARENCIBIA                 00000000          N
062007051351999000001021TDON JAIME                DEL BUSTO                ARREGUI                   00000000          N
062007051351999000001022TDON GUILLERMO JESUS      MARISCAL                 REINOSO-JIMENEZ           00000000          N
062007051351999000001023TDOÑA MARIA ENELIDA       HERNANDEZ                MONZON                    00000000          N
062007051351999000001024TDOÑA NOELIA MARIA        GARCIA                   RODRIGUEZ                 00000000          N
062007051351999000001025TDOÑA PAOLA MARIA DEL CARMHERNANDEZ                MARRERO                   00000000          N
062007051351999000001026TDON GUSTAVO              SANCHEZ                  CARRILLO                  00000000          N
062007051351999000001027TDON JUAN JOSE            GIL                      MENDEZ                    00000000          N
062007051351999000001028TDOÑA JOSEFA              VIERA                    DIAZ                      00000000          N
062007051351999000001029TDOÑA E. ENCARNACION      DOMINGUEZ                AFONSO                    00000000          N
062007051351999000001003TDOÑA MARIA DEL CARMEN    GUERRA                   GUERRA                    00000000          S
